,SP_ID,Int_Name,PA_type,PA_DEF,IUCN_CAT,RealmNr,Biodiversity,Wilderness,ClimateStability,LandUseStability,Size,ClimateProtection
1140,453,Atlin/A Teix Gi Aan Tlein Park,NA,1,II,5,0.051600693,0.982782761,0.774274305,0.750146291,0.007153442,0.262430615
22,254,Wrangell-St. Elias,NA,1,II,5,0.05109879,0.983564266,0.726300264,0.749939248,0.126426284,0.121180468
807,445,Lac La Ronge Provincial Park,NA,1,II,5,0.049829517,0.926613545,0.463430588,0.752599786,0.009958034,0.199013003
406,148,Caribou Mountains Wildland Provincial Park,NA,1,Ib,5,0.049703235,0.970398768,0.484171014,0.771220054,0.018438095,0.1484082
1109,142,Clearwater River Provincial Park,NA,1,Ib,5,0.049437005,0.927364247,0.500501346,0.755363776,0.007348522,0.189000084
950,444,Pauingassi First Nation Traditional Use Planning Area,NA,1,II,5,0.049041461,0.925927923,0.626094262,0.751054426,0.008479535,0.16385211
525,105,Chuck River,NA,1,Ib,5,0.048378799,0.940177523,0.686332319,0.750320258,0.014690559,0.452278185
1128,457,Neah Conservancy,NA,1,II,5,0.048364928,0.97588083,0.697325278,0.750623911,0.00723781,0.254888182
991,114,Tracy Arm-Fords Terror,NA,1,Ib,5,0.048317271,0.977147332,0.633630013,0.750442911,0.00814941,0.314462146
1319,969,Lesser Slave Lake PP,KBA,NA,NA,5,0.048167908,0.822275576,0.651044157,0.770020665,0.00626716,0.32323833
32,471,Wood Buffalo National Park Of Canada,NA,1,II,5,0.047150391,0.945441713,0.57740319,0.754608506,0.112964274,0.199641516
257,90,Nellie Juan-College Fiord,NA,1,Ib,5,0.047103163,0.942517369,0.707020274,0.750708971,0.02743289,0.143186651
645,322,Réserve aquatique projetée de la rivière Moisie,NA,1,II,5,0.046993521,0.954987729,0.553096431,0.750633747,0.012261296,0.18478194
133,156,Edéhzhíe Protected Area,NA,1,Ib,5,0.045720648,0.986518664,0.648901262,0.749919351,0.044309302,0.126658163
61,944,Upper Tanana River Valley,KBA,NA,NA,5,0.045195102,0.979899156,0.719578397,0.74992133,0.077018449,0.133203528
859,459,Asi Keyi,NA,1,II,5,0.044965135,0.990195636,0.708388717,0.749919351,0.009275534,0.093326396
702,145,Pink Lake,NA,1,Ib,5,0.044739009,0.942227423,0.452815445,0.750953995,0.011438375,0.142395114
1264,143,Athabasca Sand Dunes Provincial Park,NA,1,Ib,5,0.044433761,0.953913836,0.462592459,0.750851292,0.006478976,0.096310416
825,147,Richardson Wildland Provincial Park,NA,1,Ib,5,0.044102509,0.893346788,0.542482538,0.755291936,0.009714118,0.174508598
805,315,Réserve de parc national Assinica,NA,1,II,5,0.043861546,0.941198701,0.550991204,0.751559494,0.00998979,0.128211746
365,146,Kazan Wildland Provincial Park,NA,1,Ib,5,0.043831503,0.947822246,0.577713538,0.753204131,0.020527591,0.185368441
276,91,Denali,NA,1,Ib,5,0.043597297,0.980949981,0.72161847,0.750367552,0.026924928,0.100615072
174,323,Réserve de biodiversité projetée Albanel-Témiscamie-Otish,NA,1,II,5,0.043067513,0.964772158,0.610941597,0.751189678,0.03742235,0.118141708
502,450,Nááts'Ihch'Oh National Park Reserve Of Canada,NA,1,II,5,0.042287235,0.999444657,0.716982206,0.749919351,0.015248381,0.104368243
622,111,Kootznoowoo,NA,1,Ib,5,0.041897064,0.936483667,0.661287595,0.74997693,0.012582565,0.496070641
1289,458,Tombstone,NA,1,II,5,0.041588906,0.982176992,0.722109213,0.749919351,0.006372754,0.097406061
145,99,Katmai,NA,1,Ib,5,0.041170846,0.990509282,0.53401659,0.749919491,0.04173988,0.030508774
1308,88,Becharof,NA,1,Ib,5,0.040856964,0.986027297,0.646976458,0.749919525,0.006315397,0
718,138,Numaykoos Lake Provincial Park,NA,1,Ib,5,0.039623742,0.992159686,0.510888102,0.750084258,0.011219997,0.093371957
1079,251,Kenai Fjords,NA,1,II,5,0.039622591,0.942211938,0.630702852,0.751210904,0.007538264,0.123481076
537,136,Opasquia Provincial Park,NA,1,Ib,5,0.039598752,0.956904381,0.521900198,0.750392759,0.014480004,0.181600884
187,456,Wapusk National Park Of Canada,NA,1,II,5,0.039582897,0.989799604,0.551573976,0.749979878,0.035751028,0.066206924
572,115,Andrew Simons,NA,1,Ib,5,0.039229026,0.928789787,0.58795962,0.751179567,0.013638618,0.117556883
285,139,Sand Lakes Provincial Park,NA,1,Ib,5,0.039200906,0.985495498,0.461025572,0.750644484,0.025906213,0.105732886
211,101,Lake Clark,NA,1,Ib,5,0.03902736,0.994563084,0.66866673,0.749982357,0.0328376,0.100992596
67,137,Polar Bear Provincial Park,NA,1,Ib,5,0.037664529,0.991034629,0.329149142,0.749991091,0.072198406,0.071152437
463,158,Ni'iinlii Njik (Fishing Branch),NA,1,Ib,5,0.037623122,0.9992357,0.734818827,0.749919351,0.016195041,0.112649813
802,984,Akimiski Island,KBA,NA,NA,5,0.03680747,0.967760343,0.440390261,0.750330161,0.01002382,0.068511255
715,974,Middle Mackenzie River Islands,KBA,NA,NA,5,0.036552344,0.979613912,0.506161115,0.749919351,0.011229876,0.130564768
835,975,"North Arm, Great Slave Lake",KBA,NA,NA,5,0.036423625,0.95170899,0.435218872,0.749919351,0.009613066,0.117526077
456,96,Innoko,NA,1,Ib,5,0.036309517,0.987718056,0.662068695,0.749919351,0.016581597,0.08287446
46,86,Mollie Beattie,NA,1,Ib,5,0.035942873,0.998770625,0.652964837,0.749919351,0.089678572,0.031962865
44,92,Gates of the Arctic,NA,1,Ib,5,0.035832942,0.998269933,0.700146908,0.749919351,0.090873202,0.066731301
65,102,Noatak,NA,1,Ib,5,0.035246619,0.999864518,0.753210156,0.749919351,0.072970759,0.106402538
704,971,Mackenzie River Delta,KBA,NA,NA,5,0.034986093,0.974773171,0.195892649,0.749919351,0.011414485,0.021532078
