"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"746","375","Morton",NA,"1","II","1",0.492337695620287,0.743041051266558,0.468354230685244,0.541460157506078,0.0251819567219779,0.0763165026458257
"747","164","Mount Aspiring National Park",NA,"1","II","1",0.0318789851344481,0.590718864098994,0.665487733518275,0.728092067226292,0.0899221462475212,0.136697933106607
"749","807","Mount Gibson and Charles Darwin","KBA",NA,NA,"1",0.290692379726669,0.590329855360415,0.0194600375219754,0.456811462471266,0.0413076899678596,0.036938568456588
"762","389","Munga-Thirri",NA,"1","II","1",0.298167062431578,0.677195717723856,0.413493402883498,0.442336235367741,0.358609715087222,0.0175361386968348
"766","394","Murray - Sunset",NA,"1","II","1",0.396073027703057,0.588823220865757,0.453740318059825,0.528561047721717,0.215379072603276,0.0490246210937375
"767","812","Murrumbidgee Red Gums","KBA",NA,NA,"1",0.373369634578459,0.399747937088419,0.409201721512912,0.559965758786974,0.0444638805021553,0.0260201030849611
"798","38","Neale Junction",NA,"1","Ia","1",0.164495880349159,0.628430884865527,0.273217004192343,0.408176951540124,0.239833157283396,0.017493072761814
"802","361","Newhaven",NA,"1","II","1",0.246664511085212,0.633622033127122,0.335431111532517,0.469874220917742,0.05084237860839,0.0164370466305018
"803","32","Ngarkat",NA,"1","Ia","1",0.355790721412161,0.526899358463954,0.329577863476324,0.571869517832506,0.0525769861044377,0.0152720226808889
"819","961","North Auckland Seabird Flyway","KBA",NA,NA,"1",0,0.460453487785456,0.339843164163373,0.859868533330045,0.0616857535971294,0.0340217928170777
"824","994","North-west Isabel","KBA",NA,NA,"1",0.168651592951989,0.996677401403745,0.338200986910642,0.405782886336401,0.0276527759868067,1.28969872074628e-12
"826","801","North-west Tasmanian Coast","KBA",NA,NA,"1",0.15399388100377,0.759979698078508,0.36697016600905,0.417989648355641,0.0386116407898215,0.120563826130407
"837","813","Northern Swan Coastal Plain","KBA",NA,NA,"1",0.345771079334119,0.322893150502731,0.14826499793599,0.498752573114326,0.0397052463267997,0.0310503457380308
"846","129","Nullarbor",NA,"1","Ib","1",0.21300622474412,0.617790739602903,0.362035018238939,0.408192350275249,0.310982414781766,0.0290416096376266
"849","35","Nuytsland",NA,"1","Ia","1",0.246640750057121,0.646053521814033,0.427565836965648,0.40678845538285,0.191744101463778,0.0746344266685371
"859","390","Olkola (Cape York Peninsula Aboriginal Land)",NA,"1","II","1",0.484270682141745,0.648554490739249,0.685338777910965,0.787660598220904,0.096756108627835,0.117462582413819
"875","383","Oyala Thumotang (Cape York Peninsula Aboriginal Land)",NA,"1","II","1",0.550376954080993,0.657343977695495,0.842888606248342,0.787898936621674,0.0998947370898162,0.130873526016899
"879","810","Lake Gregory/Paraku","KBA",NA,NA,"1",0.225359219484396,0.578117198180049,0.647715057647194,0.408277061335466,0.0258403818947752,0.022241416358848
"936","20","Pegunungan Tamrau Selatan",NA,"1","Ia","1",0.699902003000506,0.968465581063305,0.38689073617815,0.0910504815633232,0.138485518905544,0.517901524398622
"937","993","Pegunungan Tokalekaju","KBA",NA,NA,"1",0.524329099239126,0.836948972213098,0.177503701388394,0.0228247689903062,0.103914594229417,0.265807306770343
"938","21","Pegunungan Wayland",NA,"1","Ia","1",0.779353546575882,0.944073691646084,0.192375988698509,0.179143445772748,0,0.1323151244205
"942","778","Pilliga","KBA",NA,NA,"1",0.448899329652073,0.50934524842703,0.637594515659674,0.649065357464341,0.148436701424523,0.0808344607218797
"946","39","Plumridge Lakes",NA,"1","Ia","1",0.169606797298915,0.645582977128435,0.217275761562507,0.409166312051473,0.0699552621116877,0.0191553850840082
"958","396","Prince Regent",NA,"1","II","1",0.457239174622837,0.744253581310924,0.862618085228047,0.423150701702977,0.183238038848692,0.0658549974564565
"963","403","Purnululu",NA,"1","II","1",0.361825134842951,0.686064605047775,0.70108823513064,0.40824649996929,0.043554220625672,0.0509144950165839
"973","37","Queen Victoria Spring",NA,"1","Ia","1",0.21428668301766,0.66430403121506,0.259906021342944,0.407654852690715,0.0549761603698931,0.0315918101674998
"1031","388","Rinyirru (Lakefield) (Cape York Peninsula Aboriginal Land)",NA,"1","II","1",0.62300442156809,0.641365640641444,0.688224233283845,0.709818354908683,0.166513655260608,0.120899316999303
"1041","779","Riverina Plains","KBA",NA,NA,"1",0.386381585767152,0.395467208251666,0.437310766336215,0.597633464350105,0.38177934076008,0.0383183235958034
"1108","367","Silver Plains",NA,"1","II","1",0.569470715163136,0.699343759855548,0.710770160604727,0.705119314138158,0.0270254939819193,0.0628787641954274
"1110","33","Simpson Desert",NA,"1","Ia","1",0.251686281297361,0.705935869602359,0.349026995738144,0.433196435450194,0.225639441205891,0.00106629642727734
"1125","802","South-east Tasmania","KBA",NA,NA,"1",0.172952438570141,0.697123861378499,0.289310971991301,0.454007080751111,0.0729461978814227,0.0671744145887757
"1126","799","South-west Slopes of NSW","KBA",NA,NA,"1",0.534367485316278,0.405445303643079,0.503610009518712,0.588766425519183,1,0.162870666807342
"1131","796","Southern NSW Mallee","KBA",NA,NA,"1",0.393138367939155,0.540026004042496,0.376251501501777,0.655794355145161,0.283203948942,0.0695296501137279
"1133","392","Southwest",NA,"1","II","1",0.169139475830242,0.779686386152908,0.150677024491166,0.445996041982593,0.205166637675188,0.131319710271999
"1138","382","Staaten River",NA,"1","II","1",0.350995570822463,0.69326528701651,0.703008973631883,0.885453470857779,0.135681738247059,0.0733870705391291
"1142","800","Strzelecki Desert Lakes","KBA",NA,NA,"1",0.294688756216098,0.684678811921037,0.411036278785806,0.688815476224035,0.0416767447925694,0.010810149322317
"1143","376","Sturt",NA,"1","II","1",0.273571938711893,0.582297405006418,0.415909850598608,0.456819926343535,0.0766108025029485,0.0197459679767511
"1166","1323","Telefomin","KBA",NA,NA,"1",0.992695331531,1,0.288014463322564,0.246296375698432,0.0251745880072596,0.220521169842192
"1189","771","Tiwi Islands","KBA",NA,NA,"1",0.394943423920361,0.667592756201708,0.826125018669686,0.414877208104488,0.250305539887309,0.0426268448608096
"1192","44","Toolonga",NA,"1","Ia","1",0.310577686061045,0.607985001992222,0.387651908237388,0.422543336020489,0.108920650673615,0.0238886065676912
"1218","814","Ulladulla to Merimbula","KBA",NA,NA,"1",0.44942860702996,0.83147852729793,0.477660107307377,0.48938691606785,0.0293263433616709,0.111305810925569
"1263","366","Walalkara",NA,"1","II","1",0.213749841223441,0.638061450421735,0.294973750609556,0.41894961871041,0.380647510833717,0.0462195834152558
"1264","371","Waldburg",NA,"1","II","1",0.250356547973755,0.549609626364193,0.205092226095822,0.634922599598975,0.0448216535139113,0.0336407059141406
"1265","405","Walyarta",NA,"1","II","1",0.218331341834197,0.59778358801659,0.65335825422957,0.413835373860318,0.0384122432874005,0.0128388713011138
"1267","373","Wanna",NA,"1","II","1",0.275116068441374,0.555767736622654,0.392872723334716,0.609855989825515,0.061951829364586,0.0397543097333272
"1271","365","Watarru",NA,"1","II","1",0.213414240301102,0.625355808549785,0.288531778835917,0.408176951540124,0.621193465032599,0.0495330289713484
"1288","535","Wet Tropics of Queensland",NA,"1","Not Applicable","1",0.906197146474441,0.819619870227177,0.449214789506642,0.752842778484916,0.309438838769032,0.38510169617716
"1291","537","Willandra Lakes Region",NA,"1","Not Applicable","1",0.356327230803534,0.52973007430424,0.357056061249238,0.692557095732767,0.0413676896167551,0.0362062434266258
"1293","30","Witchelina Nature Reserve",NA,"1","Ia","1",0.30217405737024,0.618472429122489,0.429206471384205,0.76173983044104,0.113166523865396,0.0100291091107282
"1295","125","Wollemi",NA,"1","Ib","1",0.607328845947817,0.811644592248037,0.540442152538529,0.605403532955525,0.14886072489129,0.218584856335014
"1300","393","Wyperfeld",NA,"1","II","1",0.36174193281821,0.574271963228591,0.347759303265828,0.501114660959879,0.0905733116050349,0.025061489982425
"1321","127","Yellabinna",NA,"1","Ib","1",0.314916437426074,0.614541522821896,0.270639341420561,0.461035317517585,0.149135742665479,0.0211380013912863
"1324","41","Yeo Lake",NA,"1","Ia","1",0.224106103726602,0.638169007063216,0.218090882264176,0.488582674118367,0.0752354990634484,0.0270736712921323
