"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"238","285","Complejo de Humedales Cuyabeno Lagartococha Yasuní",NA,"1","II","6",0.573937929225462,0.902326030428652,0.732197547902941,0.808347656865338,0.104206109365778,0.218586116506312
"241","1273","Coquimbo desert scrub","KBA",NA,NA,"6",0.0474753487230607,0.311245665256171,0.463951959098295,0.766725797971517,0.0592367557060951,0.0128335409052429
"242","305","Corcovado",NA,"1","II","6",0.0556390035671752,0.75121819783947,0.593297555791221,0.798851835766008,0.0393135281680629,0.0330399303157147
"243","336","Cordillera Azul",NA,"1","II","6",0.784357455087807,0.865293247337563,0.78509717110811,0.677622182196319,0.183649771004991,0.275876399125215
"244","507","Cordillera de los Picachos",NA,"1","II","6",0.601739188382609,0.663075659617487,0.884935784775094,0.867930487160674,0.0384423306014581,0.0617712399341871
"245","1081","Cordillera del Cóndor","KBA",NA,NA,"6",0.718231321295894,0.76076483777347,0.706535303015707,0.504554301637108,0.0337391748795831,0.0681475877173947
"246","1276","Cosolapa, Acatlan, Tepexic","KBA",NA,NA,"6",0.436856848832804,0.611704939677028,0.62354454936746,0.792558440180988,0.0335290321057588,0.0305091788004286
"247","1068","Cotahuasi","KBA",NA,NA,"6",0.105455327632477,0.571662485397936,0.662775383604883,0.681445430077995,0.0660230883864658,0.020910534295142
"248","1034","Cotapata","KBA",NA,NA,"6",0.607664150527751,0.630617283278117,0.629111233989186,0.773809570920766,0.0386742813988327,0.0814244190061851
"252","1299","Cuchumatanes","KBA",NA,NA,"6",0.472825644109166,0.701449390649458,0.787526793058915,0.741578373082503,0.0400395868031082,0.0627237924660529
"254","1048","Cuenca del río Aguapey","KBA",NA,NA,"6",0.289705239395522,0.283011380971178,0.510856512066962,0.701052997859213,0.030422838651285,0.0217792547112303
"255","1038","Cuenca del Río Salado","KBA",NA,NA,"6",0.126084499999598,0,0.689368955230257,0.506844978432786,0.232934264277051,0.05400983060595
"256","1277","Cuenca Río Nanay","KBA",NA,NA,"6",0.580558198410914,0.935088092106961,0.709646280645875,0.83015964064643,0.0496970325137391,0.130562100104542
"257","1009","Cuencas de Ríos Caine y Mizque","KBA",NA,NA,"6",0.525283229213649,0.542425636173737,0.703275408418509,0.78820738283429,0.0500854062865831,0.0480794508177797
"274","233","Darién",NA,"1","II","6",0.543213716618993,0.745847983856945,0.721216198167842,0.824046818946655,0.0766503608307159,0.0913736452596109
"278","333","de Cutervo",NA,"1","II","6",0.284311371966396,0.438637598556679,0.614811954810772,0.451702384085576,0.000442777541879106,0.00547605918735241
"280","283","Defensores del Chaco",NA,"1","II","6",0.234453506544079,0.361023120441013,0.700927424545063,0.722125203996946,0.0972871172404073,0.06082311134699
"281","331","del Manu",NA,"1","II","6",0.827102336223695,0.91011594381806,0.808974361025656,0.588688706576639,0.230513306248469,0.280867745309504
"282","318","del Río Abiseo",NA,"1","II","6",0.627441433860167,0.730785632059721,0.728325058243995,0.623889930408799,0.0366724206156509,0.0769170387091712
"284","748","Delta do Parnaíba","KBA",NA,NA,"6",0.233192787827398,0.62899599982945,0.939294633356825,0.802157725318329,0.0288923283456344,0.0191758860586059
