"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"1","1027","Yungas Inferiores de Isiboro-Sécure / Altamachi","KBA",NA,NA,"6",0.720973804457586,0.836313039684147,0.708681948340205,0.719872072667464,0.00221156336520831,0.131084581316887
"2","774","Kabalebo / Arapahu","KBA",NA,NA,"6",0.536600978418354,0.952157097240519,0.750567828960543,0.727527593891883,0.0176119492532872,0.366202673676411
"3","688","Ilhéus / Itabuna","KBA",NA,NA,"6",0.490304077199568,0.676187919685385,0.672443995260168,0.653751752067197,0.00253429401426325,0.0636762783843073
"4","933","Current / Jack's Fork Watershed-45","KBA",NA,NA,"5",0.14444755572714,0.568009843626005,0.516268952012436,0.791751605653944,0.00481974059701013,0.0413908731131548
"5","837","Snoul / Keo Sema / O Reang","KBA",NA,NA,"4",0.36641076126811,0.724392486663222,0.729687458694875,0.610370984300544,0.00272370433179329,0.0692635562442749
"6","510","Talamanca Range-La Amistad Reserves / La Amistad National Park",NA,"1","Not Applicable","6",0.764189563899425,0.706441038399875,0.551282299238852,0.726171543625461,0.00603969150449801,0.105573201356553
"7","934","Upper / Middle Meramec River Watershed-46","KBA",NA,NA,"5",0.144573983278751,0.539803217562622,0.524950261787757,0.794394647464236,0.00407966976023481,0.0371128018454332
"8","749","Reentrâncias Maranhenses / Paraenses","KBA",NA,NA,"6",0.500913561927193,0.699095617498153,0.710024960704983,0.648122139568861,0.0118794089221413,0.107571591537143
"9","755","Caxiuanã / Portel","KBA",NA,NA,"6",0.536439421652836,0.824352139561407,0.599000867132731,0.706392277733247,0.0358329897307016,0.400009804897068
"10","761","Aurora do Tocantins / Taguatinga","KBA",NA,NA,"6",0.324172396917979,0.458109221737122,0.693609383367078,0.616157970448236,0.00388007279949004,0.017373032936445
"11","1332","Waigeo Utara / Timur","KBA",NA,NA,"1",0.126765307333318,0.867661506038573,0.444049590812501,0.647928129902886,0.00329504475715259,0.0248116658206327
"12","767","Tirecatinga / Utiariti","KBA",NA,NA,"6",0.454128921355465,0.530402023959371,0.54262402020578,0.60794666820777,0.00633100083684352,0.0527251610496145
"13","77","Harrat Khaybar / Wadi Hadiyah",NA,"1","Ib","8",0.0685380476187222,0.719330213135101,0.466784993100287,0.583730140146951,0.00511880644315203,0.000162764302037019
"14","123","2001056 Torneträsk-Soppero Fjällurskog",NA,"1","Ib","8",0.0742722064494644,0.886493818176372,0.562845137867031,0.727927811080569,0.00348219028011661,0.00853302861433045
"15","25","2001071 Sjaunja",NA,"1","Ia","8",0.0737353586885856,0.882893122888844,0.593700072180059,0.727549534730265,0.00294911252427372,0.00645282624550272
"16","124","2001842 Vindelfjällen",NA,"1","Ib","8",0.0831672932672617,0.854813991154758,0.544914917101741,0.727602375435434,0.00576178657602557,0.0129297627450514
